Y-values X-values
9.35106 2.02176
12.70469 3.26443
6.14479 6.57585
5.72289 4.38795
6.76522 5.84046
8.59667 5.15421
9.34956 2.72707
12.46392 5.0839
11.01733 3.36681
12.77838 3.35522
11.4163 4.19433
7.86992 0.94814
6.13702 6.38433
4.41677 2.65782
5.90678 6.00054
10.81209 4.27264
4.66232 7.06407
8.58257 2.68006
9.95114 3.37641
9.8342 4.67554
11.61933 -0.41494
6.9637 5.65584
7.95135 7.08326
7.50523 6.25361
7.0218 5.50954
9.66257 3.70804
6.9012 6.5638
7.59082 6.14806
12.17427 4.78524
8.1814 4.01023
8.2993 3.27647
13.59563 1.53954
5.42663 6.45246
15.71505 -0.34409
9.00384 3.25971
8.68467 4.32876
8.89145 5.71976
8.40756 7.52332
9.20468 5.98665
8.85916 3.41696
6.90214 5.45626
11.51351 1.4768
6.78154 6.85988
7.76581 3.68705
10.69947 2.65248
11.81074 2.72188
9.23119 3.87728
12.55646 3.21443
5.95675 8.57982
9.63746 2.56364
8.94826 4.06522
7.6349 4.0561
6.69217 4.05654
9.6645 4.11069
7.864 3.03687
9.01687 2.83318
10.00106 2.27568
11.95129 1.02365
9.37623 4.43261
7.33344 5.96875
5.80632 2.91383
9.2806 2.88277
7.75529 3.36703
9.31433 3.07872
13.08068 1.12746
8.22548 6.73022
8.53826 4.878
10.95023 2.57661
5.34771 4.59434
9.89127 3.12309
10.38764 3.57673
6.8054 4.72793
8.08523 5.90593
5.60711 7.03905
8.07476 7.40782
11.41501 3.50228
8.53003 3.0005
11.56649 4.1992
8.21449 4.25669
14.09864 2.53156
8.80965 2.75905
7.62627 5.62655
6.5995 7.2836
7.66081 3.547
6.38599 2.70407
7.65419 3.43326
12.55142 2.00974
8.57926 3.45426
7.47068 4.84489
11.96375 3.83731
7.81175 6.46916
9.9632 4.30178
9.72911 4.96224
7.22318 3.70248
6.94439 6.63133
11.05619 1.55531
8.96801 3.39282
8.49184 1.65262
8.40552 5.65255
4.12256 5.70064
